PEPSICO, INC.  131584302 -- BusinessCode: 311400 -- NY : PURCHASE
                 : LIFEPATH INDEX 2035  [264020637-001] C  $325,267
                 : LIFEPATH INDEX 2040  [264020715-001] C  $784,970
                 : LIFEPATH INDEX 2045  [264020794-001] C  $828,840
                 : LIFEPATH INDEX 2050  [264020887-001] C  $426,883
                 : LIFEPATH INDEX 2055  [264020281-001] C  $273,083
                 : LIFEPATH INDEX 2060  [471878775-001] C  $51,276
                 : LIFEPATH INDEX RETIREMENT  [264019464-001] C  $152,264
                 : MID CAP EQUITY INDEX  [943272818-001] C  $14,124
                 : SMALL CAP EQUITY INDEX  [264299570-001] C  $15,556
                 : TOTAL US EQUITY INDEX  [270862122-001] C  $13,501
                 : US BOND INDEX  [264086131-001] C  $10,047
           - WELLINGTON TRUST COMPANY, NA
                 : WELLINGTON MID CAP OPPS  [042755549-001] C  $4,410
           = SUBTOTAL       $      3,293,199
           = OTHER          $        136,866
  [Other] THE QUAKER INCOME SECURITY PLAN PEPSICO, INC. [131584302-552]
    2022  [codes: 4C]    https://efast2-filings-public.s3.amazonaws.com/prd/2024/1/24/20240124073158NAL0013168209001.pdf
    2021    https://efast2-filings-public.s3.amazonaws.com/prd/2023/1/18/20230118151506NAL0004117986001.pdf
    2020    https://efast2-filings-public.s3.amazonaws.com/prd/2022/1/20/20220120130224NAL0001472257001.pdf
    2019    https://efast2-filings-public.s3.amazonaws.com/prd/2021/1/29/20210129134545NAL0010014352001.pdf
  [Life insurance, Travel accident] PEPSICO GROUP INSURANCE PROGRAM [131584302-600]
    2022  [codes: 4B4L4Q]    https://efast2-filings-public.s3.amazonaws.com/prd/2023/8/25/20230825115806NAL0000838352001.pdf
    2021    https://efast2-filings-public.s3.amazonaws.com/prd/2022/9/2/20220902133713NAL0013465955001.pdf
    2020    https://efast2-filings-public.s3.amazonaws.com/prd/2021/9/30/20210930090810NAL0003713041001.pdf
    2019    https://efast2-filings-public.s3.amazonaws.com/prd/2020/10/14/20201014162039NAL0003997683001.pdf
  [Short-term disability, Long-term disability] PEPSICO DISABILITY PLAN [131584302-630]
    2022  [codes: 4H4F]    https://efast2-filings-public.s3.amazonaws.com/prd/2023/9/23/20230923150531NAL0005686257001.pdf
        Assets: $6,039,000
        Service Providers:
           - SEDGWICK CLAIMS MANAGEMENT SERVICES : $7,110,807   (Recordkeeper | Claims processing)
           = TOTAL FEES: $7,110,807
    2021    https://efast2-filings-public.s3.amazonaws.com/prd/2022/10/3/20221003155137NAL0022424946001.pdf
        Assets: $5,260,000
        Service Providers:
           - SEDGWICK CLAIMS MANAGEMENT SERVICES : $6,882,041   (Recordkeeper | Claims processing)
           = TOTAL FEES: $6,882,041
    2020    https://efast2-filings-public.s3.amazonaws.com/prd/2021/9/23/20210923125829NAL0002616385001.pdf
        Assets: $5,213,000
        Service Providers:
           - SEDGWICK CLAIMS MANAGEMENT SERVICES : $6,754,272   (Recordkeeper | Claims processing)
           = TOTAL FEES: $6,754,272
    2019    https://efast2-filings-public.s3.amazonaws.com/prd/2020/9/23/20200923145829NAL0003711809001.pdf
        Assets: $5,796,000
        Service Providers:
           - SEDGWICK CLAIMS MANAGEMENT SERVICES : $5,786,280   (Recordkeeper | Claims processing)
           = TOTAL FEES: $5,786,280
  [Other] PEPSICO GROUP LEGAL SERVICES PLAN [131584302-700]
    2022  [codes: 4G]    https://efast2-filings-public.s3.amazonaws.com/prd/2023/8/25/20230825115818NAL0000608241001.pdf
    2021    https://efast2-filings-public.s3.amazonaws.com/prd/2022/9/2/20220902133008NAL0013461507001.pdf
    2020    https://efast2-filings-public.s3.amazonaws.com/prd/2021/9/30/20210930090757NAL0005805840001.pdf
    2019    https://efast2-filings-public.s3.amazonaws.com/prd/2020/10/14/20201014162030NAL0004279971001.pdf
  [Healthcare, Dental, Vision] PEPSICO EMPLOYEE HEALTH CARE PROGRAM [131584302-725]
    2022  [codes: 4A4D4E]    https://efast2-filings-public.s3.amazonaws.com/prd/2023/8/25/20230825115753NAL0000607505001.pdf
    2021    https://efast2-filings-public.s3.amazonaws.com/prd/2022/9/2/20220902133111NAL0013462147001.pdf
    2020    https://efast2-filings-public.s3.amazonaws.com/prd/2021/9/30/20210930090831NAL0001763635001.pdf
    2019    https://efast2-filings-public.s3.amazonaws.com/prd/2020/10/14/20201014161824NAL0004276339001.pdf
  [Healthcare] PEPSICO RETIREE HEALTH CARE PROGRAM [131584302-726]
    2022  [codes: 4A]    https://efast2-filings-public.s3.amazonaws.com/prd/2023/8/25/20230825115842NAL0000656721001.pdf
    2021    https://efast2-filings-public.s3.amazonaws.com/prd/2022/9/2/20220902133126NAL0013462227001.pdf
    2020    https://efast2-filings-public.s3.amazonaws.com/prd/2021/9/30/20210930090820NAL0004606785001.pdf
    2019    https://efast2-filings-public.s3.amazonaws.com/prd/2020/10/14/20201014162005NAL0008129008001.pdf
  [Severance] PEPSICO SEVERANCE PLAN [131584302-737]
    2022  [codes: 4I]    https://efast2-filings-public.s3.amazonaws.com/prd/2023/8/25/20230825115831NAL0000838640001.pdf
    2021    https://efast2-filings-public.s3.amazonaws.com/prd/2022/9/2/20220902133704NAL0022377072001.pdf
    2020    https://efast2-filings-public.s3.amazonaws.com/prd/2021/9/30/20210930090746NAL0003712753001.pdf
    2019    https://efast2-filings-public.s3.amazonaws.com/prd/2020/10/14/20201014162155NAL0008132992001.pdf
