PIERCE ATWOOD LLP | ME | PORTLAND | 010190452
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 825170825
TRANSAMERICA LIFE INSURANCE COMPANY | IA | CEDAR RAPIDS | 825217478
SEI TRUST COMPANY | PA | OAKS | 825482374
SEI TRUST COMPANY | PA | OAKS | 825499317
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 825500822
COMERICA BANK & TRUST, NATIONAL ASSOCIATION | MI | DETROIT | 826178890
VANGUARD FIDUCIARY TRUST COMPANY | PA | MALVERN | 826190443
NORTHERN TRUST INVESTMENTS, INC. | IL | CHICAGO | 826192524
VANGUARD FIDUCIARY TRUST COMPANY | PA | MALVERN | 826194314
VANGUARD FIDUCIARY TRUST COMPANY | PA | MALVERN | 826200492
VANGUARD FIDUCIARY TRUST COMAPNY | PA | MALVERN | 826204383
EXCELA HEALTH PENSION MASTER TR | PA | GREENSBURG | 826228492
RELIANCE TRUST COMPANY | GA | ATLANTA | 826248089
SEI TRUST COMPANY | PA | OAKS | 826249680
RELIANCE TRUST COMPANY | GA | ATLANTA | 826251411
DWS TRUST COMPANY | MA | BOSTON | 826252443
RELIANCE TRUST COMPANY | GA | ATLANTA | 826253445
VANGUARD FIDUCIARY TRUST COMPANY | PA | MALVERN | 826254629
RELIANCE TRUST COMPANY | GA | ATLANTA | 826258259
GEODE CAPITAL MANAGEMENT TRUST COMPANY, LLC | MA | BOSTON | 826293122
RELIANCE TRUST COMPANY | GA | ATLANTA | 826488478
SEI TRUST COMPANY | PA | OAKS | 826488742
SEI TRUST COMPANY | PA | OAKS | 826494961
SEI TRUST COMPANY | PA | OAKS | 826498197
SEI TRUST COMPANY | PA | OAKS | 826500970
SEI TRUST COMPANY | PA | OAKS | 826504317
RELIANCE TRUST COMPANY | GA | ATLANTA | 826505831
SEI TRUST COMPANY | PA | OAKS | 826507837
SEI TRUST COMPANY | PA | OAKS | 826511039
SEI TRUST COMPANY | PA | OAKS | 826514016
SEI TRUST COMPANY | PA | OAKS | 826516857
SEI TRUST COMPANY | PA | OAKS | 826519906
SEI TRUST COMPANY | PA | OAKS | 826537136
SEI TRUST COMPANY | PA | OAKS | 826539202
SEI TRUST COMPANY | PA | OAKS | 826542271
SEI TRUST COMPANY | PA | OAKS | 826545168
SEI TRUST COMPANY | PA | OAKS | 826547850
SEI TRUST COMPANY | PA | OAKS | 826551318
SEI TRUST COMPANY | PA | OAKS | 826554416
SEI TRUST COMPANY | PA | OAKS | 826557908
SEI TRUST COMPANY | PA | OAKS | 826560165
SEI TRUST COMPANY | PA | OAKS | 826563190
SEI TRUST COMPANY | PA | OAKS | 826566776
SEI TRUST COMPANY | PA | OAKS | 826570747
COMERICA BANK & TRUST, NATIONAL ASSOCIATION | MI | DETROIT | 826571037
RELIANCE TRUST COMPANY | GA | ATLANTA | 826625014
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 826646525
COMERICA BANK & TRUST, NATIONAL ASSOCIATION | MI | DETROIT | 826648070
COMERICA BANK & TRUST, NATIONAL ASSOCIATION | MI | DETROIT | 826649344
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 826649803
SEI TRUST COMPANY | PA | OAKS | 826652363
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 826652366
SEI TRUST COMPANY | PA | OAKS | 826662590
HUSSMANN CORPORATION | MO | BRIDGETON | 826665041
TOWERS WATSON INVESTMENT SERVICES, INC. | VA | ARLINGTON | 826695738
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 826734626
COMERICA BANK & TRUST, NATIONAL ASSOCIATION | MI | DETROIT | 826749519
COMERICA BANK & TRUST, NATIONAL ASSOCIATION | MI | DETROIT | 826750538
COMERICA BANK & TRUST, NATIONAL ASSOCIATION | MI | DETROIT | 826753772
COMERICA BANK & TRUST, NATIONAL ASSOCIATION | MI | DETROIT | 826757275
COMERICA BANK & TRUST, NATIONAL ASSOCIATION | MI | DETROIT | 826760208
COMERICA BANK & TRUST, NATIONAL ASSOCIATION | MI | DETROIT | 826763925
RELIANCE TRUST COMPANY | GA | ATLANTA | 826781933
RELIANCE TRUST COMPANY | GA | ATLANTA | 826812575
SEI TRUST COMPANY | PA | OAKS | 826843145
RELIANCE TRUST COMPANY | GA | ATLANTA | 826843446
BANK OF JACKSON HOLE | WY | JACKSON | 830257173
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 830377925
ALLIANCEBERNSTEIN L.P. | NY | WHITE PLAINS | 830438675
EQUITRANS MIDSTREAM CORPORATION | PA | CANONSBURG | 830516635
ALTA TRUST COMPANY | SD | SIOUX FALLS | 830524193
SEI TRUST COMPANY | PA | OAKS | 830686634
CAREPOINT HEALTH, LLC | CO | GREENWOOD VILLAGE | 831024601
HEALTH CARE SERVICE CORPORATION A MUTUAL RESERVE CO | TX | RICHARDSON | 831060209
TRANSAMERICA FINANCIAL LIFE INSURANCE COMPANY | IA | CEDAR RAPIDS | 831098532
BAKER & MCKENZIE LLP | IL | CHICAGO | 831186238
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 831210608
ARROWSTREET CAPITAL, LIMITED PARTNERSHIP | MA | BOSTON | 831237604
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 831242767
ALTA TRUST COMPANY | SD | SIOUX FALLS | 831273151
ALTA TRUST COMPANY | SD | SIOUX FALLS | 831286100
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 831290900
ALTA TRUST COMPANY | SD | SIOUX FALLS | 831300171
ALTA TRUST COMPANY | SD | SIOUX FALLS | 831318731
ALTA TRUST COMPANY | SD | SIOUX FALLS | 831335569
ALTA TRUST COMPANY | SD | SIOUX FALLS | 831358106
JPMORGAN CHASE BANK, N.A. | NY | NEW YORK | 831362114
ALTA TRUST COMPANY | SD | SIOUX FALLS | 831373905
ALTA TRUST COMPANY | SD | SIOUX FALLS | 831392402
ALTA TRUST COMPANY | SD | SIOUX FALLS | 831401342
ALTA TRUST COMPANY | SD | SIOUX FALLS | 831419179
ALTA TRUST COMPANY | SD | SIOUX FALLS | 831466030
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 831481224
ALTA TRUST COMPANY | SD | SIOUX FALLS | 831482059
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 831496408
SEI TRUST COMPANY | PA | OAKS | 831498228
ALTA TRUST COMPANY | SD | SIOUX FALLS | 831512343
ALTA TRUST COMPANY | SD | SIOUX FALLS | 831527285
SEI TRUST COMPANY | PA | OAKS | 831542088
ALTA TRUST COMPANY | SD | SIOUX FALLS | 831580447
SEI TRUST COMPANY | PA | OAKS | 831722242
WELLINGTON TRUST COMPANY, NA | MA | BOSTON | 831756748
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 831809892
SEI TRUST COMPANY | PA | OAKS | 831864530
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 831868299
MERCER TRUST COMPANY LLC | MA | BOSTON | 831876913
PGIM INC. | NJ | NEWARK | 831921274
PZENA VALUE TRUST | NY | NEW YORK | 831943216
THE MOSAIC COMPANY | FL | TAMPA | 832016637
SEI TRUST COMPANY | PA | OAKS | 832022303
RHUMBLINE ADVISERS CORP. | MO | KANSAS CITY | 832033494
ALTA TRUST COMPANY | SD | SIOUX FALLS | 832060613
ALTA TRUST COMPANY | SD | SIOUX FALLS | 832064950
RESOURCES DIVERSIFIED RISK MITIGATION | SD | SIOUX FALLS | 832080943
SPARROW HEALTH SYSTEM PENSION MASTER TRUST | MI | LANSING | 832121212
WESTERN ASSET MANAGEMENT COMPANY, LLC | CA | PASADENA | 832130118
SEI TRUST COMPANY | PA | OAKS | 832153978
ADAMS STREET PARTNERS, LLC | IL | CHICAGO | 832213573
ADAMS STREET PARTNERS, LLC | IL | CHICAGO | 832227716
FOX CORPORATION | NY | NEW YORK | 832290306
MERCER TRUST COMPANY LLC | MA | BOSTON | 832461327
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 832484172
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 832484374
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 832494857
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 832495054
ALTA TRUST COMPANY | SD | SIOUX FALLS | 832504106
ALTA TRUST COMPANY | SD | SIOUX FALLS | 832529440
ALTA TRUST COMPANY | SD | SIOUX FALLS | 832571523
ALTA TRUST COMPANY | SD | SIOUX FALLS | 832581826
ALTA TRUST COMPANY | SD | SIOUX FALLS | 832640000
SEI TRUST COMPANY | PA | OAKS | 832723947
GOLDMAN SACHS TRUST COMPANY, N.A. | NJ | JERSEY CITY | 832733840
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 832812791
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 832813537
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 832814522
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 832828178
ALTA TRUST COMPANY | SD | SIOUX FALLS | 833084851
ALTA TRUST COMPANY | SD | SIOUX FALLS | 833275641
AT RETIREMENT SERVICES, LLC | IA | DUBUQUE | 833455979
DUPONT DE NEMOURS, INC. | DE | WILMINGTON | 833846995
ABG RETIREMENT PLAN GROUP TRUST | SD | SIOUX FALLS | 833962311
WILMINGTON TRUST, N.A. | DE | WILMINGTON | 833963451
RHUMBLINE ADVISERS CORP. | MO | KANSAS CITY | 833969290
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 833976130
SEI TRUST COMPANY | PA | OAKS | 834025990
AXA GROUP OPERATIONS AMERICAS INC. | NY | NEW YORK | 834180385
SEI TRUST COMPANY | PA | OAKS | 834427312
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 834531539
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 834547654
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 834548433
BROWN BROTHERS HARRIMAN TRUST COMPANY, N.A. | NY | NEW YORK | 836169733
NEWTOWER TRUST COMPANY | MD | BETHESDA | 836177544
UNITED REFINING COMPANY | PA | WARREN | 836310018
BACARDI U.S.A., INC. | FL | CORAL GABLES | 836317363
BENEFIT TRUST COMPANY | KS | OVERLAND PARK | 836320070
RELIANCE TRUST COMPANY | GA | ATLANTA | 836352671
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 836396037
COMERICA BANK & TRUST, NATIONAL ASSOCIATION | MI | DETROIT | 836404300
COMERICA BANK & TRUST, NATIONAL ASSOCIATION | MI | DETROIT | 836407889
COMERICA BANK & TRUST, NATIONAL ASSOCIATION | MI | DETROIT | 836448706
BOSTON TRUST WALDEN COMPANY | MA | BOSTON | 836501761
SEI TRUST COMPANY | PA | OAKS | 836516714
PUBLIC SERVICE ENTERPRISE GROUP INCORPORATED | NJ | NEWARK | 836572470
BENEFIT TRUST COMPANY | KS | OVERLAND PARK | 836699605
BENEFIT TRUST COMPANY | KS | OVERLAND PARK | 836703513
DUPONT CAPITAL MANAGEMENT CORP | MO | KANSAS CITY | 836759250
SEI TRUST COMPANY | PA | OAKS | 836759450
MERICA BANK & TRUST, NATIONAL ASSOCIATION | MI | DETROIT | 836771554
BENEFIT TRUST COMPANY | KS | OVERLAND PARK | 836821137
SEI TRUST COMPANY | PA | OAKS | 836834374
HOLLAND & HART LLP | CO | DENVER | 840382505
SHERMAN AND HOWARD L.L.C. | CO | DENVER | 840420314
DAVIS GRAHAM & STUBBS LLP | CO | DENVER | 840421951
EMPOWER ANNUITY INSURANCE COMPANY OF AMERICA | CO | GREENWOOD VILLAGE | 840467907
DENVER NEPHROLOGISTS, P.C. | CO | AURORA | 840591433
FORT COLLINS RADIOLOGIC ASSOCIATES, P.C. | CO | FORT COLLINS | 840706789
COLORADO PERMANENTE MEDICAL GROUP, P.C. | CO | DENVER | 840832336
MKA INTERNATIONAL, INC. | CA | WALNUT CREEK | 840917753
LUMEN TECHNOLOGIES, INC. | LA | MONROE | 840928963
WCM INDUSTRIES, INC. | CO | COLORADO SPRINGS | 841008970
INVESCO TRUST COMPANY | GA | ATLANTA | 841126600
INVESCO TRUST COMPANY | GA | ATLANTA | 841142974
THE ANSCHUTZ CORPORATION | CO | DENVER | 841179412
EMPOWER RETIREMENT, LLC | CO | GREENWOOD VILLAGE | 841233483
INVESCO TRUST COMPANY | GA | ATLANTA | 841251725
INVESCO TRUST COMPANY | GA | ATLANTA | 841258920
NORTHERN COLORADO ANESTHESIA PROFESSIONALS, PLLC | CO | FORT COLLINS | 841439630
EMPOWER TRUST COMPANY, LLC | CO | GREENWOOD VILLAGE | 841455663
HARRIS BEACH PLLC | NY | PITTSFORD | 841623836
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 841634920
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 841739105
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 841756623
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 841770109
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 841787954
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 841799880
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 841837050
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 841845096
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 841858562
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 841875552
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 841915237
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 841930938
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 841944762
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 841957801
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 841976474
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 842000433
SENSIA LLC | TX | HOUSTON | 842131830
BMO HARRIS BANK NA | WI | MILWAUKEE | 842347236
WELLINGTON TRUST COMPANY, NA | MA | BOSTON | 842367183
JPMORGAN CHASE BANK, N.A. | NY | NEW YORK | 842373652
JPMORGAN CHASE BANK, N.A. | NY | NEW YORK | 842388804
JPMORGAN CHASE BANK, N.A. | NY | NEW YORK | 842402523
SEI TRUST COMPANY | PA | OAKS | 842412379
JPMORGAN CHASE BANK, N.A. | NY | NEW YORK | 842420474
JPMORGAN CHASE BANK, N.A. | NY | NEW YORK | 842433553
JPMORGAN CHASE BANK, N.A. | NY | NEW YORK | 842447445
JPMORGAN CHASE BANK, N.A. | NY | NEW YORK | 842460155
JPMORGAN CHASE BANK, N.A. | NY | NEW YORK | 842477816
JPMORGAN CHASE BANK, N.A. | NY | NEW YORK | 842492102
JPMORGAN CHASE BANK, N.A. | NY | NEW YORK | 842507352
SEI TRUST COMPANY | PA | OAKS | 842543540
ADAMS STREET PARTNERS, LLC | IL | CHICAGO | 842570980
ADAMS STREET PARTNERS, LLC | IL | CHICAGO | 842580008
SEI TRUST COMPANY | PA | OAKS | 842660112
JPMORGAN CHASE BANK, N.A. | NY | NEW YORK | 842662072
JPMORGAN CHASE BANK, N.A. | NY | NEW YORK | 842670525
T. ROWE PRICE TRUST COMPANY | MD | BALTIMORE | 842700565
SEI TRUST COMPANY | PA | OAKS | 843043234
SEI TRUST COMPANY | PA | OAKS | 843069065
PROVIDENCE HEALTH & SERVICES | WA | RENTON | 843087403
PROVIDENCE HEALTH & SERVICES | WA | RENTON | 843089200
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 843172952
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 843194855
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 843205395
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 843206030
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 843225591
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 843225779
JPMORGAN CHASE BANK, N.A. | NY | NEW YORK | 843233691
MONDRIAN INVESTMENT GROUP US, INC. | DE | WILMINGTON | 843234668
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 843236021
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 843236240
JPMORGAN CHASE BANK, N.A. | NY | NEW YORK | 843248717
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 843249549
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 843249864
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 843263206
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 843263619
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 843286627
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 843294285
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 843302013
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 843315909
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 843324811
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 843325147
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 843337565
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 843337701
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 843353030
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 843354020
GGA AGGRESSIVE ALL EQUITY | SD | SIOUX FALLS | 843358930
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 843372054
GGA AGGRESSIVE BALANCED | SD | SIOUX FALLS | 843379391
T. ROWE PRICE TRUST COMPANY | MD | BALTIMORE | 843381700
T. ROWE PRICE TRUST COMPANY | MD | BALTIMORE | 843388904
T. ROWE PRICE TRUST COMPANY | MD | BALTIMORE | 843404014
T. ROWE PRICE TRUST COMPANY | MD | BALTIMORE | 843417562
GGA CONSERVATIVE BALANCED | SD | SIOUX FALLS | 843423177
T. ROWE PRICE TRUST COMPANY | MD | BALTIMORE | 843434984
BUILD BOND INNOVATION COLLECTIVE INVESTMENT TRUST | SD | SIOUX FALLS | 843442509
T. ROWE PRICE TRUST COMPANY | MD | BALTIMORE | 843451389
GGA FIXED INCOME | SD | SIOUX FALLS | 843453785
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 843466077
T. ROWE PRICE TRUST COMPANY | MD | BALTIMORE | 843466131
T. ROWE PRICE TRUST COMPANY | MD | BALTIMORE | 843480634
GGA MODERATE BALANCED | SD | SIOUX FALLS | 843487493
T. ROWE PRICE TRUST COMPANY | MD | BALTIMORE | 843493620
T. ROWE PRICE TRUST COMPANY | MD | BALTIMORE | 843510353
T. ROWE PRICE TRUST COMPANY | MD | BALTIMORE | 843529506
ONEASCENT TARGET RETIREMENT 2020 FUND | SD | SIOUX FALLS | 843530827
T. ROWE PRICE TRUST COMPANY | MD | BALTIMORE | 843540754
ONEASCENT TARGET RETIREMENT 2030 FUND | SD | SIOUX FALLS | 843557779
ONEASCENT TARGET RETIREMENT 2040 FUND | SD | SIOUX FALLS | 843579365
ONEASCENT TARGET RETIREMENT 2050 FUND | SD | SIOUX FALLS | 843583033
T. ROWE PRICE TRUST COMPANY | MD | BALTIMORE | 843612736
GOLDMAN SACHS TRUST COMPANY, N.A. | NJ | JERSEY CITY | 843842960
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 843852261
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 843864060
NATIONAL INVESTMENT SERVICES OF AMERICA, LLC | WI | MILWAUKEE | 843937993
HARBOR TRUST COMPANY, INC. | IL | CHICAGO | 844022934
RETIREGUIDE CONSERVATIVE GROWTH | SD | SIOUX FALLS | 844074165
RETIREGUIDE CONSERVATIVE GROWTH & INCOME | SD | SIOUX FALLS | 844094462
RETIREGUIDE GROWTH | SD | SIOUX FALLS | 844095754
RETIREGUIDE GROWTH & INCOME | SD | SIOUX FALLS | 844095989
RETIREGUIDE MODERATE GROWTH & INCOME | SD | SIOUX FALLS | 844096260
RETIREGUIDE MODERATE GROWTH | SD | SIOUX FALLS | 844096529
NEUBERGER BERMAN INVESTMENT ADVISERS LLC | IL | CHICAGO | 844332954
ARAMCO SHARED BENEFITS COMPANY | TX | HOUSTON | 844364434
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 844476184
FLORIDA CRYSTALS CORPORATION | FL | WEST PALM BEACH | 844765903
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 844876035
SEI TRUST COMPANY | PA | OAKS | 844914573
LAZARD ASSET MANAGEMENT LLC | NY | NEW YORK | 845019551
BASF CORPORATION | NJ | FLORHAM PARK | 845171020
LOOMIS SAYLES TRUST COMPANY LLC | MA | BOSTON | 846391546
VANGUARD FIDUCIARY TRUST COMPANY | PA | MALVERN | 846546303
VANGUARD FIDUCIARY TRUST COMPANY | PA | MALVERN | 846548531
VANGUARD FIDUCIARY TRUST COMPANY | PA | MALVERN | 846551878
VANGUARD FIDUCIARY TRUST COMPANY | PA | MALVERN | 846555815
VANGUARD FIDUCIARY TRUST COMAPNY | PA | MALVERN | 846557902
VANGUARD FIDUCIARY TRUST COMPANY | PA | MALVERN | 846561512
VANGUARD FIDUCIARY TRUST COMPANY | PA | MALVERN | 846565712
VANGUARD FIDUCIARY TRUST COMPANY | PA | MALVERN | 846568405
VANGUARD FIDUCIARY TRUST COMPANY | PA | MALVERN | 846572691
VANGUARD FIDUCIARY TRUST COMPANY | PA | MALVERN | 846574391
THE CLEVELAND CLINIC FOUNDATION | OH | CLEVELAND | 846576268
VANGUARD FIDUCIARY TRUST COMPANY | PA | MALVERN | 846579799
VANGUARD FIDUCIARY TRUST COMPANY | PA | MALVERN | 846587002
VANGUARD FIDUCIARY TRUST COMPANY | PA | MALVERN | 846588737
VANGUARD FIDUCIARY TRUST COMPANY | PA | MALVERN | 846590672
SEI TRUST COMPANY | PA | OAKS | 846615098
BENEFIT TRUST COMPANY | KS | OVERLAND PARK | 846659405
AMALGAMATED BANK | NY | NEW YORK | 846967608
BELL BANK | ND | FARGO | 846989280
THE BANK OF NEW YORK MELLON | PA | PITTSBURGH | 847062700
THE BANK OF NEW YORK MELLON | PA | PITTSBURGH | 847064589
SEI TRUST COMPANY | PA | OAKS | 847084399
BERKSHIRE HATHAWAY ENERGY COMPANY | IA | DES MOINES | 847120645
NATIONAL TECHNOLOGY & ENGINEERING SOLUTIONS OF SANDIA, LLC | NM | ALBUQUERQUE | 850097942
ANESTHESIA ASSOCIATES OF NEW MEXICO, P.C. | NM | ALBUQUERQUE | 850210604
RODEY DICKASON SLOAN AKIN & ROBB PA | NM | ALBUQUERQUE | 850216511
MODRALL, SPERLING, ROEHL, HARRIS & SISK, P.A. | NM | ALBUQUERQUE | 850283491
THORNBURG INVESTMENT MANAGEMENT | NM | SANTA FE | 850301299
DAVIS SELECTED ADVISERS, L.P. | AZ | TUCSON | 850360310
MACK ENERGY CORPORATION | NM | ARTESIA | 850381433
PNM RESOURCES, INC. | NM | ALBUQUERQUE | 850468296
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 850507120
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 850546097
PRINCIPAL GLOBAL INVESTORS TRUST COMPANY | OR | PORTLAND | 850572066
INVESCO ADVISERS, INC. | GA | ATLANTA | 850865867
SEI TRUST COMPANY | PA | OAKS | 850894185
PRINCIPAL GLOBAL INVESTORS TRUST COMPANY | OR | PORTLAND | 850913974
JPMORGAN CHASE BANK, N.A. | NY | NEW YORK | 851002095
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 851037468
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 851037563
SIERRA-CEDAR COMPANIES, LLC | GA | ALPHARETTA | 851055558
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 851142026
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 851399579
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 851404566
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 851404929
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 851430499
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 851430799
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 851448812
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 851449261
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 851465174
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 851465437
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 851484759
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 851553502
BUILD BOND INNOVATION PLUS COLLECTIVE INVESTMENT TRUST | SD | SIOUX FALLS | 851559174
HARBOURVEST PARTNERS XII BUYOUT FUND L.P. | MA | BOSTON | 851655542
HARBOURVEST PARTNERS XII VENTURE FUND L.P. | MA | BOSTON | 851682565
T. ROWE PRICE TRUST COMPANY | MD | BALTIMORE | 851763138
T. ROWE PRICE TRUST COMPANY | MD | BALTIMORE | 851790880
T. ROWE PRICE TRUST COMPANY | MD | BALTIMORE | 851819748
AMALGAMATED BANK | NY | NEW YORK | 852117044
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 852265574
BVPV STYRENICS LLC | PA | MONACA | 852318004
BUILD US MANAGED VOLATILITY & GROWTH COLLECTIVE INVESTMENT TRUST | SD | SIOUX FALLS | 852410698
AMERIPRISE TRUST COMPANY | MN | MINNEAPOLIS | 852607739
